Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000147421	HMBOX1	homeobox containing 1 	protein coding	Chromosome 8: 28890395-29064764forward strand	-
ENSG00000207587	MIR544A	microRNA 544a 	miRNA	Chromosome 14: 101048658-101048748forward strand	-
ENSG00000234479	AP1B1P1	AP1B1 pseudogene 1 	transcribed unprocessed pseudogene	Chromosome 22: 32121977-32133469forward strand	-
ENSG00000235703	LINC00894	long intergenic non-protein coding RNA 894 	lncRNA	Chromosome X: 149938613-150224580forward strand	-
ENSG00000245680	ZNF585B	zinc finger protein 585B 	protein coding	Chromosome 19: 37181579-37218153reverse strand	-
ENSG00000167747	C19orf48	chromosome 19 open reading frame 48 	transcribed unitary pseudogene	Chromosome 19: 50797704-50804929reverse strand	-
ENSG00000227177	AIMP1P2	aminoacyl tRNA synthetase complex interacting multifunctional protein 1 pseudogene 2 	processed pseudogene	Chromosome 1: 172885947-172886258reverse strand	-
ENSG00000242951	AC007182.2	ribosomal protein S24 (RPS24) pseudogene	processed pseudogene	Chromosome 14: 75595805-75596206reverse strand	-
ENSG00000266368	AC005410.2	"novel transcript, antisense to DNAH9"	lncRNA	Chromosome 17: 11953889-11977594reverse strand	-
ENSG00000171174	RBKS	ribokinase 	protein coding	Chromosome 2: 27781379-27890681reverse strand	-
ENSG00000260788	AC009063.2	"novel transcript, antisense to CDH13"	lncRNA	Chromosome 16: 83720402-83772974reverse strand	-
ENSG00000229390	MICD	MHC class I polypeptide-related sequence D (pseudogene) 	unprocessed pseudogene	Chromosome 6: 29970801-29972464reverse strand	-
ENSG00000216616	AL356421.1	ribosomal protein L27A (RPL27A) pseudogene	processed pseudogene	Chromosome 6: 47752828-47753240reverse strand	-
ENSG00000216721	AC093850.1	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa (NDUFA4) pseudogene"	processed pseudogene	Chromosome 2: 215804731-215804981reverse strand	-
ENSG00000186007	LEMD1	LEM domain containing 1 	protein coding	Chromosome 1: 205381378-205455954reverse strand	-
ENSG00000236527	ARF4P2	ADP ribosylation factor 4 pseudogene 2 	processed pseudogene	Chromosome 20: 62872250-62873076reverse strand	-
ENSG00000104889	RNASEH2A	ribonuclease H2 subunit A 	protein coding	Chromosome 19: 12806584-12813640forward strand	-
ENSG00000229182	MRPS16P1	mitochondrial ribosomal protein S16 pseudogene 1 	processed pseudogene	Chromosome 8: 91917507-91917918forward strand	-
ENSG00000099204	ABLIM1	actin binding LIM protein 1 	protein coding	Chromosome 10: 114431113-114768061reverse strand	-
ENSG00000249152	LNCPRESS2	lncRNA p53 regulated and ESC associated 2 	lncRNA	Chromosome 4: 92268767-92277075reverse strand	-
ENSG00000271964	AC090948.1	"novel transcript, antisense to RFTN1"	lncRNA	Chromosome 3: 16314439-16314987forward strand	-
ENSG00000171848	RRM2	ribonucleotide reductase regulatory subunit M2 	protein coding	Chromosome 2: 10120698-10211725forward strand	-
ENSG00000261295	-	-	-	-	-
ENSG00000255233	AP003969.1	novel transcript	lncRNA	Chromosome 11: 93240133-93241168forward strand	-
ENSG00000228107	AP000692.1	"novel transcript, sense overlapping MORC3"	lncRNA	Chromosome 21: 36360630-36362040forward strand	-
ENSG00000100523	DDHD1	DDHD domain containing 1 	protein coding	Chromosome 14: 53036745-53153323reverse strand	-
ENSG00000263272	AC004148.1	"novel transcript, antisense to RPAIN"	lncRNA	Chromosome 17: 5425139-5432876reverse strand	-
ENSG00000258638	AL389895.1	"protein tyrosine phosphatase type IVA, member 1 (PTP4A1) pseudogene"	processed pseudogene	Chromosome 14: 62514872-62515123reverse strand	-
ENSG00000272626	AC021146.12	novel transcript	lncRNA	Chromosome 4: 68901008-68906983reverse strand	-
ENSG00000234465	PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing 	protein coding	Chromosome 19: 43575801-43583964forward strand	-
ENSG00000203878	CHIAP2	"chitinase, acidic pseudogene 2 "	transcribed unprocessed pseudogene	Chromosome 1: 111280059-111286116forward strand	-
ENSG00000130332	LSM7	"LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated "	protein coding	Chromosome 19: 2321520-2328611reverse strand	-
ENSG00000180423	HARBI1	harbinger transposase derived 1 	protein coding	Chromosome 11: 46602861-46617909reverse strand	-
ENSG00000233016	SNHG7	small nucleolar RNA host gene 7 	lncRNA	Chromosome 9: 136721366-136728184reverse strand	-
ENSG00000228086	AL589990.1	novel transcript	lncRNA	Chromosome 1: 100462399-100485997reverse strand	-
ENSG00000182208	MOB2	MOB kinase activator 2 	protein coding	Chromosome 11: 1469457-1501247reverse strand	-
ENSG00000269881	-	-	-	-	-
ENSG00000261455	LINC01003	long intergenic non-protein coding RNA 1003 	lncRNA	Chromosome 7: 152463786-152465549forward strand	-
ENSG00000232553	CLK2P1	"CDC like kinase 2, pseudogene 1 "	processed pseudogene	Chromosome 7: 23585062-23586355reverse strand	-
ENSG00000254242	AC100849.2	novel transcript	lncRNA	Chromosome 8: 19091703-19145449forward strand	-
ENSG00000239767	AC108733.1	novel transcript	lncRNA	Chromosome 3: 86258936-86267424reverse strand	-
ENSG00000253525	CPP	ceruloplasmin pseudogene 	processed pseudogene	Chromosome 8: 91157285-91158748forward strand	-
ENSG00000260306	AC092375.2	novel transcript	lncRNA	Chromosome 16: 21794095-21795759reverse strand	-
ENSG00000259713	AC013391.2	novel transcript	lncRNA	Chromosome 15: 89518523-89591956forward strand	-
ENSG00000204338	CYP21A1P	"cytochrome P450 family 21 subfamily A member 1, pseudogene "	transcribed unprocessed pseudogene	Chromosome 6: 32005636-32008451forward strand	-
ENSG00000223611	SUPT20HL2	SUPT20H like 2 	protein coding	Chromosome X: 24310862-24314079reverse strand	-
ENSG00000267782	AC022916.4	"novel transcript, antisense UNC45B"	lncRNA	Chromosome 17: 35164243-35167012reverse strand	-
ENSG00000271553	AC018638.7	novel transcript	lncRNA	Chromosome 7: 128667043-128668156forward strand	-
ENSG00000235039	MTND6P12	MT-ND6 pseudogene 12 	processed pseudogene	Chromosome X: 5168918-5169439reverse strand	-
ENSG00000237738	RNF216-IT1	RNF216 intronic transcript 1 	lncRNA	Chromosome 7: 5662432-5680461reverse strand	-
ENSG00000252135	RNU1-155P	"RNA, U1 small nuclear 155 pseudogene "	snRNA	Chromosome 1: 148385829-148385963reverse strand	-
ENSG00000228345	AC112492.2	MAGE family pseudogene	processed pseudogene	Chromosome X: 27854323-27855353forward strand	-
ENSG00000238812	RNU7-127P	"RNA, U7 small nuclear 127 pseudogene "	snRNA	Chromosome 2: 236037250-236037311forward strand	-
ENSG00000276614	-	-	-	-	-
ENSG00000113262	GRM6	glutamate metabotropic receptor 6 	protein coding	Chromosome 5: 178977587-178996206reverse strand	-
ENSG00000268116	AC073539.2	ribosomal protein L17 (RPL17) pseudogene	processed pseudogene	Chromosome 19: 22130325-22130489forward strand	-
ENSG00000257671	KRT7-AS	KRT7 antisense RNA 1 	lncRNA	Chromosome 12: 52245048-52247448reverse strand	-
ENSG00000263389	MIR3973	microRNA 3973 	miRNA	Chromosome 11: 36010098-36010204forward strand	-
ENSG00000264230	ANXA8L1	annexin A8 like 1 	protein coding	Chromosome 10: 46375627-46391784forward strand	-
ENSG00000252129	SNORA74	Small nucleolar RNA SNORA74 	snoRNA	Chromosome 17: 15574019-15574198forward strand	-
ENSG00000255118	AP003306.2	novel transcript	lncRNA	Chromosome 11: 62336911-62338090reverse strand	-
ENSG00000119487	MAPKAP1	MAPK associated protein 1 	protein coding	Chromosome 9: 125437393-125707234reverse strand	-
ENSG00000253126	IGLVI-56	immunoglobulin lambda variable (I)-56 (pseudogene) 	IG V pseudogene	Chromosome 22: 22198560-22199011forward strand	-
ENSG00000175634	RPS6KB2	ribosomal protein S6 kinase B2 	protein coding	Chromosome 11: 67428460-67435401forward strand	-
ENSG00000213798	AC004129.1	ribosomal protein L7a (RPL7A) pseudogene	processed pseudogene	Chromosome 7: 25212170-25212965reverse strand	-
ENSG00000171724	VAT1L	vesicle amine transport 1 like 	protein coding	Chromosome 16: 77788564-77980107forward strand	-
ENSG00000264985	AC124804.1	"novel transcript, antisense to SDK2"	lncRNA	Chromosome 17: 73513469-73521407forward strand	-
ENSG00000275625	AC004386.4	-	misc RNA	Chromosome X: 74281703-74281849forward strand	-
ENSG00000148730	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2 	protein coding	Chromosome 10: 70404145-70428618forward strand	-
ENSG00000201901	RN7SKP48	RN7SK pseudogene 48 	misc RNA	Chromosome 4: 85100496-85100823forward strand	-
ENSG00000236917	DNAJA1P2	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 2 	processed pseudogene	Chromosome 2: 153761450-153762646reverse strand	-
ENSG00000267391	MIR122HG	MIR122 host gene 	lncRNA	Chromosome 18: 58445788-58453766forward strand	-
ENSG00000242703	CCT4P1	chaperonin containing TCP1 subunit 4 pseudogene 1 	processed pseudogene	Chromosome 7: 140997952-140999800reverse strand	-
ENSG00000138442	WDR12	WD repeat domain 12 	protein coding	Chromosome 2: 202874261-203014798reverse strand	-
ENSG00000084693	AGBL5	ATP/GTP binding protein like 5 	protein coding	Chromosome 2: 27042364-27070622forward strand	-
ENSG00000226449	CDY5P	chromodomain Y-linked 5 pseudogene 	unprocessed pseudogene	Chromosome Y: 17721598-17723177forward strand	-
ENSG00000183401	CCDC159	coiled-coil domain containing 159 	protein coding	Chromosome 19: 11344684-11354944forward strand	-
ENSG00000233544	EIF3KP2	eukaryotic translation initiation factor 3 subunit K pseudogene 2 	processed pseudogene	Chromosome 3: 24555834-24556459forward strand	-
ENSG00000087502	ERGIC2	ERGIC and golgi 2 	protein coding	Chromosome 12: 29337352-29381189reverse strand	-
ENSG00000170006	TMEM154	transmembrane protein 154 	protein coding	Chromosome 4: 152618628-152680012reverse strand	-
ENSG00000235356	AL592466.1	novel transcript	lncRNA	Chromosome 10: 65271319-65315080forward strand	-
ENSG00000259195	AC021739.1	ribosomal protein S2 (RPS2) pseudogene	processed pseudogene	Chromosome 15: 85770990-85771163forward strand	-
ENSG00000152034	MCHR2	melanin concentrating hormone receptor 2 	protein coding	Chromosome 6: 99918519-99994247reverse strand	-
ENSG00000250185	RCC2P8	regulator of chromosome condensation 2 pseudogene 8 	processed pseudogene	Chromosome 4: 108788745-108789779reverse strand	-
ENSG00000117054	ACADM	acyl-CoA dehydrogenase medium chain 	protein coding	Chromosome 1: 75724431-75787575forward strand	-
ENSG00000261158	AC109597.2	"novel transcript, antisense to CPPED1"	lncRNA	Chromosome 16: 12759282-12761162forward strand	-
ENSG00000185261	KIAA0825	KIAA0825 	protein coding	Chromosome 5: 94152966-94618597reverse strand	-
ENSG00000213704	EEF1A1P15	eukaryotic translation elongation factor 1 alpha 1 pseudogene 15 	processed pseudogene	Chromosome X: 98389512-98390919forward strand	-
ENSG00000260338	LINC01570	long intergenic non-protein coding RNA 1570 	lncRNA	Chromosome 16: 5596856-5616373reverse strand	-
ENSG00000221335	-	-	-	-	-
ENSG00000275764	AC092747.4	novel transcript	lncRNA	Chromosome 12: 27037100-27038960forward strand	-
ENSG00000271627	NKAIN1P2	NKAIN1 pseudogene 2 	processed pseudogene	Chromosome 2: 91723023-91723605forward strand	-
ENSG00000249170	AC096713.1	"solute carrier family 35, member A4 (SLC35A4) pseudogene"	processed pseudogene	Chromosome 4: 71300258-71301235reverse strand	-
ENSG00000198106	AC025279.1	novel transcript	lncRNA	Chromosome 16: 29291220-29372110forward strand	-
ENSG00000084731	KIF3C	kinesin family member 3C 	protein coding	Chromosome 2: 25926598-25982749reverse strand	-
ENSG00000226412	LINC02628	long intergenic non-protein coding RNA 2628 	lncRNA	Chromosome 10: 33578931-33600040reverse strand	-
ENSG00000235162	C12orf75	chromosome 12 open reading frame 75 	protein coding	Chromosome 12: 105235290-105396097forward strand	-
ENSG00000097033	SH3GLB1	"SH3 domain containing GRB2 like, endophilin B1 "	protein coding	Chromosome 1: 86704570-86748184forward strand	-
ENSG00000228076	AL591719.1	chromosome 20 open reading frame 147 (C20orf147) pseudogene	processed pseudogene	Chromosome 1: 108766841-108767584reverse strand	-
ENSG00000266183	-	-	-	-	-
ENSG00000280847	-	-	-	-	-
ENSG00000166426	CRABP1	cellular retinoic acid binding protein 1 	protein coding	Chromosome 15: 78340353-78348225forward strand	-
ENSG00000212391	AC073149.1	-	snoRNA	Chromosome 2: 226968989-226969122reverse strand	-
ENSG00000120471	TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1 	protein coding	Chromosome 11: 128934731-128943399reverse strand	-
ENSG00000258265	AL929601.2	novel transcript	lncRNA	Chromosome 14: 18944199-18945139forward strand	-
ENSG00000145850	TIMD4	T cell immunoglobulin and mucin domain containing 4 	protein coding	Chromosome 5: 156919292-156963226reverse strand	-
ENSG00000153914	SREK1	splicing regulatory glutamic acid and lysine rich protein 1 	protein coding	Chromosome 5: 66139971-66183615forward strand	-
ENSG00000273217	AC008695.1	novel protein	protein coding	Chromosome 5: 131425891-131796983reverse strand	-
ENSG00000248942	LINC01335	long intergenic non-protein coding RNA 1335 	lncRNA	Chromosome 5: 74258689-74321255reverse strand	-
ENSG00000229102	AC076966.2	novel transcript	lncRNA	Chromosome 3: 179101366-179147973reverse strand	-
ENSG00000161040	FBXL13	F-box and leucine rich repeat protein 13 	protein coding	Chromosome 7: 102813230-103074843reverse strand	-
ENSG00000229878	AL365203.1	"pseudogene similar to part of integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit) (ITGB2)"	processed pseudogene	Chromosome 10: 33035469-33035664reverse strand	-
ENSG00000213772	EIF1P7	eukaryotic translation initiation factor 1 pseudogene 7 	processed pseudogene	Chromosome 2: 9271292-9271628reverse strand	-
ENSG00000226680	AC073311.1	novel transcript	lncRNA	Chromosome 7: 123069249-123103589reverse strand	-
ENSG00000249106	AC097537.1	"novel transcript, antisense to GPM6A"	lncRNA	Chromosome 4: 175790307-175812189forward strand	-
ENSG00000173531	MST1	macrophage stimulating 1 	protein coding	Chromosome 3: 49683947-49689501reverse strand	-
ENSG00000227182	VN1R28P	vomeronasal 1 receptor 28 pseudogene 	unitary pseudogene	Chromosome 7: 57422830-57423725reverse strand	-
ENSG00000258271	AC025260.1	"RNA binding motif protein, X-linked (RBMX) pseudogene"	processed pseudogene	Chromosome 12: 93529560-93529989reverse strand	-
ENSG00000054356	PTPRN	protein tyrosine phosphatase receptor type N 	protein coding	Chromosome 2: 219289623-219309648reverse strand	-
ENSG00000229138	CDY6P	chromodomain Y-linked 6 pseudogene 	unprocessed pseudogene	Chromosome Y: 17882099-17883708reverse strand	-
ENSG00000259651	MTCO3P23	MT-CO3 pseudogene 23 	processed pseudogene	Chromosome 15: 58150275-58150563forward strand	-
ENSG00000208002	MIR643	microRNA 643 	miRNA	Chromosome 19: 52281797-52281893forward strand	-
ENSG00000234477	AC004231.1	novel transcript	lncRNA	Chromosome 17: 40921430-40975926forward strand	-
ENSG00000278047	-	-	-	-	-
ENSG00000137077	CCL21	C-C motif chemokine ligand 21 	protein coding	Chromosome 9: 34709005-34710136reverse strand	-
ENSG00000172367	PDZD3	PDZ domain containing 3 	protein coding	Chromosome 11: 119185457-119190223forward strand	-
ENSG00000112394	SLC16A10	solute carrier family 16 member 10 	protein coding	Chromosome 6: 111087503-111231194forward strand	-
ENSG00000264563	MIR4633	microRNA 4633 	miRNA	Chromosome 5: 129097688-129097766forward strand	-
ENSG00000255120	OVOL1-AS1	OVOL1 antisense RNA 1 	lncRNA	Chromosome 11: 65789051-65790868reverse strand	-
ENSG00000276765	MIR8073	microRNA 8073 	miRNA	Chromosome 13: 110340958-110341029forward strand	-
ENSG00000243187	CCDC39-AS1	CCDC39 antisense RNA 1 	lncRNA	Chromosome 3: 180680084-180700449forward strand	-
ENSG00000160256	FAM207A	family with sequence similarity 207 member A 	protein coding	Chromosome 21: 44940012-44976989forward strand	-
ENSG00000187726	DNAJB13	DnaJ heat shock protein family (Hsp40) member B13 	protein coding	Chromosome 11: 73951026-73970366forward strand	-
ENSG00000256331	NIFKP3	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 3 	processed pseudogene	Chromosome 12: 7604350-7605214reverse strand	-
ENSG00000208025	MIR591	microRNA 591 	miRNA	Chromosome 7: 96219662-96219756reverse strand	-
ENSG00000264551	-	-	-	-	-
ENSG00000234996	ACTG1P25	actin gamma 1 pseudogene 25 	transcribed processed pseudogene	Chromosome 1: 202861754-202875241forward strand	-
ENSG00000254563	AP002768.1	novel transcript	lncRNA	Chromosome 11: 78749250-78756480forward strand	-
ENSG00000214367	HAUS3	HAUS augmin like complex subunit 3 	protein coding	Chromosome 4: 2078998-2242276reverse strand	-
ENSG00000229673	Z73495.1	novel transcript	lncRNA	Chromosome 22: 32783177-32784982forward strand	-
ENSG00000236991	EDRF1-AS1	EDRF1 antisense RNA 1 	lncRNA	Chromosome 10: 125725634-125752110reverse strand	-
ENSG00000226468	AC018641.1	phosphoribosyl pyrophosphate synthetase 2 (PRPS2) pseudogene	processed pseudogene	Chromosome 7: 32456963-32457758reverse strand	-
ENSG00000252014	SNORA70	Small nucleolar RNA SNORA70 	snoRNA	Chromosome 4: 131768140-131768249forward strand	-
ENSG00000263676	MIR4632	microRNA 4632 	miRNA	Chromosome 1: 12191713-12191773forward strand	-
ENSG00000280026	AC005618.3	"novel transcript, antisense to PCDHGB1"	lncRNA	Chromosome 5: 141350109-141350662reverse strand	-
ENSG00000167617	CDC42EP5	CDC42 effector protein 5 	protein coding	Chromosome 19: 54465026-54473296reverse strand	-
ENSG00000175115	PACS1	phosphofurin acidic cluster sorting protein 1 	protein coding	Chromosome 11: 66070272-66244744forward strand	-
ENSG00000233191	AC006372.2	novel transcript	lncRNA	Chromosome 7: 157513294-157518658forward strand	-
ENSG00000249967	AL355315.1	novel protein	protein coding	Chromosome 10: 97584374-97673910forward strand	-
ENSG00000149480	MTA2	metastasis associated 1 family member 2 	protein coding	Chromosome 11: 62593214-62601865reverse strand	-
ENSG00000276624	-	-	-	-	-
ENSG00000255121	CENATAC-DT	CENATAC divergent transcript 	lncRNA	Chromosome 11: 118994824-118998004reverse strand	-
ENSG00000197008	ZNF138	zinc finger protein 138 	protein coding	Chromosome 7: 64794388-64833681forward strand	-
ENSG00000188282	RUFY4	RUN and FYVE domain containing 4 	protein coding	Chromosome 2: 218034960-218090581forward strand	-
